"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDT04","OUT013",695.539810952209
"FDL58","OUT019",2253.23136208516
"FDE52","OUT045",1401.90832517388
"FDW12","OUT035",2465.63650515766
"FDL51","OUT017",3516.55877833019
"NCY42","OUT027",3718.08342188459
"FDR07","OUT017",1677.59796180715
"FDN40","OUT045",2375.21860351802
"FDB35","OUT027",2924.9965382512
"FDA22","OUT017",2751.40062329053
"NCL06","OUT046",4152.96573968011
"FDI35","OUT013",2918.90188803404
"NCW42","OUT045",3448.07827360806
"NCX06","OUT049",2967.67747906018
"FDC37","OUT027",3202.18932515311
"FDZ14","OUT018",1695.12588483026
"DRG49","OUT049",3981.4865923932
"NCG06","OUT045",3986.7815582004
"DRC36","OUT045",2702.08494035135
"FDV21","OUT019",99.8124816174927
"FDB53","OUT046",2380.26329531669
"DRP47","OUT019",2084.88405700151
"FDA14","OUT013",2357.34895720421
"DRC24","OUT035",2587.87370963458
"FDW21","OUT018",1356.83472487819
"NCH29","OUT046",1582.50813745881
"FDU58","OUT013",3034.46346036994
"FDY27","OUT017",2935.30884245582
"FDV56","OUT035",1907.23621552077
"FDT59","OUT046",3655.13163983178
"FDB23","OUT046",3576.38407803023
"FDR49","OUT045",718.56945637549
"FDB03","OUT010",1926.40548362844
"FDN39","OUT045",2578.78336935124
"FDX02","OUT027",4990.86349172992
"FDQ16","OUT027",3195.92450114384
"FDU35","OUT018",1338.69381124181
"NCT29","OUT013",1998.90952569923
"FDZ27","OUT046",816.326074272584
"FDN57","OUT017",2356.14718125121
"FDA03","OUT018",2056.67749915156
"FDZ36","OUT045",2889.10534233296
"NCU05","OUT013",1361.2294909992
"FDT39","OUT018",2142.67333473235
"FDK60","OUT017",1683.78186906319
"FDZ25","OUT017",2805.29118093807
"FDG12","OUT046",1967.4415812792
"DRB01","OUT019",1137.45469095796
"NCC43","OUT027",5418.2626700791
"FDX13","OUT019",2025.30131698291
"FDM22","OUT049",990.918543978568
"FDJ03","OUT027",2279.04432162536
"FDU14","OUT018",3677.57700228293
"FDB33","OUT010",631.307950807222
"FDP27","OUT046",3034.03642735996
"FDO38","OUT010",-649.784759340524
"FDE28","OUT027",5129.76643518828
"FDO27","OUT035",1695.85053427012
"DRL23","OUT027",3185.07231966331
"FDS28","OUT046",938.071553864531
"FDX24","OUT013",1538.38116127024
"FDZ02","OUT035",1711.37098997515
"FDL46","OUT045",1818.86613017428
"FDS60","OUT027",4300.35726590553
"NCO06","OUT017",685.533669811814
"FDO16","OUT035",1528.56759570966
"FDC60","OUT049",1524.46182946144
"FDA48","OUT018",3217.54036273891
"FDZ36","OUT027",4419.52274594274
"FDK27","OUT045",1876.89277878472
"FDW23","OUT018",394.86835289956
"FDM14","OUT018",1504.50157514733
"FDM14","OUT013",1782.36384533911
"FDW60","OUT018",2558.1559650778
"FDE21","OUT013",1910.33369056371
"NCM42","OUT035",1913.95230603841
"FDY59","OUT010",-381.396337626004
"DRI49","OUT049",1430.72599521645
"FDT28","OUT019",510.62683773846
"FDQ22","OUT018",406.784900903281
"FDR60","OUT049",1356.1145243778
"FDC50","OUT019",-369.520247998895
"FDV24","OUT013",2460.50225665141
"DRF48","OUT010",1088.23240753491
"FDQ47","OUT046",636.634862823422
"DRN36","OUT049",1680.441320033
"NCY06","OUT035",2212.80899752478
"FDE52","OUT035",1605.22688284146
"NCB54","OUT045",1974.27297910763
"NCF31","OUT035",2586.35807660303
"FDJ08","OUT027",4471.8167538055
"NCC07","OUT017",1822.11217088336
"NCD19","OUT027",2355.17142549557
"FDL46","OUT049",2016.11202205372
"FDM20","OUT045",3830.39125949709
"NCI06","OUT010",964.930836534799
"DRM11","OUT035",4247.10285633185
"NCH07","OUT018",2256.63835728347
"FDS23","OUT013",2113.40673151195
"FDO49","OUT018",554.903017680793
"FDS35","OUT049",1181.05112877651
"DRK39","OUT045",1283.23457002165
"DRI39","OUT049",1072.28656371147
"FDV04","OUT017",2630.22778533679
"NCN14","OUT035",3052.53816502648
"FDH08","OUT013",3694.42049966925
"FDS20","OUT046",2915.40313058434
"FDV40","OUT049",1338.54625237962
"FDZ48","OUT010",-122.957564375286
"FDS24","OUT027",2880.97471231424
"FDK44","OUT049",2878.60991903968
"FDS48","OUT045",2340.53332603004
"FDK26","OUT010",1065.42321967404
"FDD23","OUT045",2933.69980990813
"NCH54","OUT017",2684.11834298433
"NCP14","OUT010",-185.571570456995
"FDM60","OUT010",-1229.97032869171
"FDV24","OUT017",2525.59931123465
"FDH08","OUT018",3351.20239033458
"FDS12","OUT027",3504.73084109402
"FDR39","OUT027",4329.35036102244
"FDP12","OUT027",2086.3721956493
"DRF60","OUT027",5198.07262364106
"FDC09","OUT035",1810.34774008284
"FDF50","OUT018",2880.88621094823
"FDG28","OUT035",4007.25626322588
"NCE19","OUT017",1034.71746962103
"NCM53","OUT010",-159.158474894817
"NCN18","OUT049",1891.74608453043
"FDF32","OUT035",3310.56613014544
"FDF11","OUT013",3824.39770281039
"DRI59","OUT049",3669.64898637992
"NCG54","OUT035",2849.46512407824
"FDM44","OUT046",1645.16260191714
"FDT57","OUT018",3466.72350429387
"FDV24","OUT046",2420.18948866737
"FDI50","OUT019",1702.03888785089
"FDS09","OUT035",1008.45649126206
"NCC31","OUT027",3924.26864564915
"FDQ07","OUT019",1565.26467743889
"FDC22","OUT017",3157.01452192542
"FDZ56","OUT046",2702.50181630214
"FDZ40","OUT019",-1004.0880998826
"FDS46","OUT027",3360.66789852618
"DRD24","OUT045",2187.17429338983
"FDV45","OUT017",3114.58924577323
"FDL26","OUT045",2423.4169787945
"FDA56","OUT018",1705.48634142581
"FDN27","OUT046",1906.30274985243
"FDM20","OUT049",3977.84222631528
"FDO16","OUT017",1459.98791492384
"FDL03","OUT035",3255.61120597472
"FDE58","OUT046",1888.12137783944
"FDI02","OUT027",3264.84378961143
"NCC55","OUT019",-1238.2020522409
"FDR03","OUT018",2993.25468371458
"FDB14","OUT017",1612.28258104087
"FDR45","OUT013",3847.24734904787
"NCN07","OUT017",2194.5159666852
"FDM51","OUT019",-251.91085936985
"FDT52","OUT027",5329.68683494358
"FDL26","OUT046",2468.30694719062
"NCZ42","OUT046",3785.18975972614
"DRI47","OUT019",422.583185864533
"FDW40","OUT013",2295.18621763087
"FDN34","OUT046",2700.41354163239
"FDS01","OUT035",2987.30370101342
"NCG55","OUT045",1807.52222380876
"FDC11","OUT035",1572.01678000842
"FDX35","OUT018",3313.89665491525
"NCB06","OUT046",2563.14760633541
"FDR09","OUT019",2200.9373542224
"FDC53","OUT017",1679.60531972368
"FDY45","OUT013",4069.97693666404
"FDA22","OUT010",778.974801076367
"FDE02","OUT035",1694.33490123857
"FDW21","OUT045",1568.16735558777
"FDV34","OUT046",1212.64388283509
"FDS59","OUT049",1863.77689756008
"NCW17","OUT017",2161.38678060538
"NCK54","OUT046",1891.27401903238
"FDG17","OUT019",1957.4463950385
"FDG35","OUT017",2864.34173769509
"FDD08","OUT010",-1254.29514958413
"NCO07","OUT017",3456.93557993497
"FDJ10","OUT010",370.780902886748
"FDW36","OUT017",1790.45815945848
"FDW21","OUT010",-271.075681152799
"FDY19","OUT017",2008.06820634179
"DRE03","OUT013",830.75792995604
"NCC55","OUT049",759.384591175008
"FDH52","OUT010",-853.309066797129
"FDO09","OUT017",4289.98911529565
"FDU43","OUT045",3725.23060213336
"FDX09","OUT010",880.450633985567
"FDH40","OUT019",-549.743642709651
"FDW58","OUT017",1796.68252509114
"FDC47","OUT017",3707.6748128981
"NCR41","OUT035",1680.82180345007
"DRG49","OUT035",4020.23717775278
"FDC52","OUT027",3888.06773512962
"FDY13","OUT046",1227.63215527853
"FDY35","OUT013",783.583462826136
"FDI35","OUT017",2999.55985669892
"NCU18","OUT049",2366.2792716329
"FDY33","OUT018",2257.66226543004
"FDC15","OUT027",3969.88702137089
"FDU01","OUT049",3067.18641242946
"NCU42","OUT046",2705.61399911847
"NCV29","OUT018",2555.53550714646
"NCY30","OUT017",3017.20904545032
"FDQ46","OUT049",1910.41918142839
"FDG58","OUT027",3911.81991438384
"FDK33","OUT017",3489.61349950642
"NCD07","OUT045",1798.71785862137
"NCX29","OUT027",3765.74961389947
"NCT42","OUT013",2406.57124062726
"DRN59","OUT035",926.064563382582
"FDI44","OUT035",1441.5478519823
"FDA45","OUT049",2938.72484231987
"FDP31","OUT045",1021.6836139546
"FDY01","OUT046",1859.66046598411
"FDT09","OUT018",1857.78100754284
"DRH03","OUT027",2993.9562850954
"FDA36","OUT018",2695.95408363637
"NCF31","OUT017",2558.23677242949
"FDG14","OUT049",2519.59784589649
"FDG28","OUT027",5339.02338339257
"FDU14","OUT049",4058.145879525
"FDY47","OUT019",197.233140317017
"FDI56","OUT049",1572.12802147633
"DRD01","OUT013",976.868688817021
"FDM22","OUT046",921.03546512795
"FDH33","OUT013",755.614275855794
"DRZ24","OUT013",1941.37460197377
"NCQ38","OUT046",1704.74534193574
"FDO16","OUT027",2826.10070489674
"FDU07","OUT027",3840.85280962311
"NCB07","OUT013",3125.04665342199
"FDU48","OUT045",2055.10881557894
"NCM43","OUT045",2568.5038295089
"FDR31","OUT010",403.869630589951
"DRK49","OUT018",430.617996910723
"NCI30","OUT010",1965.18639370271
"DRD60","OUT017",2990.22330824993
"NCG19","OUT046",3729.74311067044
"FDH12","OUT035",1846.05692571739
"FDM32","OUT035",1638.39652729788
"FDM27","OUT035",2640.69990075894
"NCU53","OUT027",4098.34859148048
"NCQ18","OUT046",1610.47732442916
"FDS10","OUT013",2885.73224357761
"FDB33","OUT027",3968.29047158612
"FDI12","OUT013",1434.73613693806
"NCW42","OUT013",3544.17364984537
"NCC06","OUT018",1792.50608515317
"FDW02","OUT017",2129.81368593373
"NCD43","OUT017",1794.1025255364
"FDM57","OUT018",1082.26239590762
"FDA58","OUT017",3857.429937837
"FDK56","OUT046",2949.02404154914
"FDP52","OUT045",3596.76903202377
"FDW20","OUT018",1719.98288898427
"FDS52","OUT049",1727.53487040968
"NCT29","OUT018",1655.69141636456
"NCL54","OUT013",2846.41915024175
"FDC05","OUT045",3084.43838461699
"FDF34","OUT035",3274.24384449607
"FDP03","OUT027",3454.97637440938
"FDD32","OUT010",-548.187551301486
"FDZ10","OUT045",1983.11780267163
"FDZ40","OUT035",1054.03440860719
"FDD51","OUT018",472.019364916339
"NCY30","OUT019",951.417738746301
"FDP58","OUT017",3562.6284205603
"FDV49","OUT017",4284.25647454797
"FDY24","OUT019",-1027.42947100506
"NCO55","OUT017",1839.18871799655
"FDR13","OUT017",1986.3233850041
"FDS51","OUT017",1136.23376090684
"FDP26","OUT045",1628.77400375294
"NCB54","OUT027",3529.58784524803
"FDF32","OUT017",3238.8742665433
"FDN31","OUT018",2734.24326882566
"DRM48","OUT017",732.667678565106
"FDN20","OUT049",2795.72626627522
"DRL01","OUT046",3696.04128295242
"FDV56","OUT049",1834.25161918158
"DRH13","OUT027",3194.94105137388
"FDA03","OUT017",2436.98301772252
"FDF47","OUT027",5002.28831484866
"FDX32","OUT046",2346.6423843519
"FDX57","OUT049",1666.9282222445
"NCA30","OUT045",2964.7811796948
"FDO49","OUT013",865.44320744402
"FDL04","OUT019",-206.865125286314
"DRM48","OUT035",791.910810901934
"FDR16","OUT013",3402.19898194729
"NCC19","OUT018",2789.15773461977
"NCE42","OUT045",3663.60004582161
"FDY24","OUT017",1025.91310443364
"FDH19","OUT049",2895.72692452948
"FDJ46","OUT013",2796.6242251805
"FDN45","OUT010",1651.83315465788
"FDY08","OUT035",2390.00112617243
"FDZ37","OUT035",1559.60850711972
"NCT30","OUT045",736.218645126888
"DRY23","OUT018",443.026269799424
"NCZ30","OUT018",1684.7654282347
"FDC44","OUT018",1554.70730834034
"FDB45","OUT035",1839.87301846134
"FDY04","OUT013",2638.14565180743
"FDM27","OUT046",2539.84669358956
"FDZ43","OUT017",3925.24440140479
"FDT39","OUT019",502.314197436047
"NCC06","OUT019",128.805576734407
"FDL15","OUT027",3908.25646505914
"FDL57","OUT017",4178.56363392265
"FDU08","OUT046",1603.22905064993
"FDK40","OUT017",4280.65256684666
"FDQ12","OUT010",1721.73589289543
"FDS48","OUT017",2523.5110365649
"FDP09","OUT045",3299.38751519234
"FDW21","OUT049",1706.28177395697
"FDY25","OUT035",3029.76943554222
"DRE13","OUT017",1501.92146619105
"FDV43","OUT019",-1178.70022897552
"FDD22","OUT045",1738.07075207958
"FDM46","OUT019",-400.601617785566
"NCO30","OUT010",1034.87403314896
"FDM25","OUT046",2771.34018801651
"NCN41","OUT049",2077.21039510388
"FDU24","OUT045",1451.09015022031
"FDZ50","OUT046",2926.78749532647
"FDP45","OUT013",4011.418104792
"NCM54","OUT045",1962.35643110391
"FDW10","OUT019",885.11890821006
"FDP20","OUT017",2161.427238982
"FDK32","OUT046",2418.060755621
"FDN52","OUT049",1530.19447020912
"FDM58","OUT045",1727.17811222243
"FDZ46","OUT027",3243.09896827375
"NCA18","OUT018",1613.79832347396
"FDD35","OUT046",1963.3054903163
"NCK31","OUT035",981.470754061674
"FDI40","OUT027",3083.0238451159
"FDT50","OUT019",-321.813597607399
"NCT06","OUT046",2631.4942531648
"FDT31","OUT035",3135.42181779094
"FDT45","OUT049",991.410268863548
"FDT13","OUT045",2910.85016367065
"FDO50","OUT045",1414.80832294756
"NCU18","OUT010",348.463439910858
"NCR54","OUT049",3201.29970653349
"NCO18","OUT018",2564.87205559544
"FDU09","OUT045",875.081130208639
"FDT13","OUT018",2708.85408141005
"FDE09","OUT046",1813.59082375401
"NCK53","OUT019",-270.011314629615
"FDG45","OUT049",3484.18467580647
"DRH15","OUT035",912.632382347309
"FDO21","OUT019",1642.98833109388
"FDD14","OUT027",4385.32919333974
"FDC09","OUT046",1665.92397348486
"FDH45","OUT027",2192.06503627462
"FDV32","OUT046",1079.55449687763
"FDG12","OUT035",2065.18260563225
"FDS32","OUT013",2279.66576192584
"NCL55","OUT018",3699.81354850559
"DRE01","OUT035",4001.60453923143
"DRE15","OUT049",1363.40325653364
"NCL42","OUT045",3842.8399907624
"FDP31","OUT013",1094.43761906946
"FDN33","OUT018",1246.47361002837
"FDZ59","OUT046",2632.51816131137
"FDE45","OUT010",931.229008816779
"FDJ07","OUT013",1940.9233354654
"FDQ45","OUT018",2661.22834777178
"FDM33","OUT027",4929.23293541817
"FDO15","OUT010",-665.264756668941
"FDM46","OUT013",1537.84897800864
"FDR03","OUT045",3199.91904019967
"FDY49","OUT018",2380.47211154517
"FDQ60","OUT045",1847.85922529119
"FDW10","OUT049",2906.04692274843
"FDO51","OUT049",859.385249429269
"FDJ40","OUT018",1483.74020357961
"FDS20","OUT018",2626.50261190719
"FDU45","OUT013",1848.13049261376
"FDV02","OUT035",2847.90903267008
"FDN09","OUT046",3837.44330921229
"NCM55","OUT027",4423.69929528225
"FDN23","OUT018",2041.64876833151
"FDY31","OUT010",415.25399533208
"FDW03","OUT010",-185.571570456995
"FDD14","OUT046",2921.58703784039
"FDV23","OUT017",2127.233686379
"DRI03","OUT045",2733.16631013802
"FDN13","OUT035",1757.48109058187
"FDF45","OUT027",2448.98817649379
"FDU46","OUT035",1572.58942164662
"FDB57","OUT049",3625.58670206634
"FDV12","OUT049",1715.65878078257
"FDQ58","OUT013",2450.06088330263
"NCA18","OUT017",1975.43074514695
"FDH52","OUT049",1119.38011408815
"FDM24","OUT018",2127.1124206507
"NCP43","OUT027",4337.70345970147
"NCO18","OUT019",902.727638584845
"FDM32","OUT017",1590.0460348182
"NCL07","OUT017",761.66077368202
"FDK03","OUT013",4038.85510850075
"FDP59","OUT017",1762.48897248814
"FDQ24","OUT049",4065.88587818921
"FDQ16","OUT018",1496.18893484492
"FDU44","OUT013",2598.21945845676
"FDH28","OUT010",-1241.84641831882
"FDV28","OUT019",-1288.44824381052
"FDM22","OUT045",837.24321152772
"FDR56","OUT046",3118.43571315597
"FDV39","OUT049",3228.24498535726
"FDU37","OUT019",-590.693744206898
"FDQ11","OUT010",2148.07070472143
"FDX02","OUT045",3477.56309360995
"NCS42","OUT018",1232.01752084652
"FDY57","OUT027",2991.82755204903
"FDB21","OUT049",3929.15212615382
"FDE28","OUT017",3748.09273113375
"FDQ55","OUT017",1933.94846038811
"FDA48","OUT049",3629.23106814427
"FDZ19","OUT045",2712.4453969469
"NCC43","OUT045",3926.74755167343
"NCV18","OUT046",1342.12936109125
"NCA42","OUT018",2265.97490573246
"FDY45","OUT046",4056.11772261879
"NCC30","OUT045",2781.89686867609
"FDM57","OUT013",1427.03659665046
"FDL09","OUT010",751.989063875984
"FDB09","OUT027",3460.66855678044
"FDT44","OUT035",2061.08697304596
"NCT06","OUT027",4075.00722035801
"FDX26","OUT049",3017.96412900641
"FDK32","OUT013",2480.15880331934
"DRA12","OUT046",2291.1957352962
"FDO46","OUT010",1080.41149211748
"FDE52","OUT013",1446.65268494178
"NCH42","OUT045",3581.20811794213
"FDV08","OUT035",865.990098478997
"FDB47","OUT018",3068.93052107642
"FDC28","OUT010",-123.408830883654
"FDD22","OUT046",1837.42391976145
"FDS07","OUT027",3312.01825674134
"DRI13","OUT045",3375.02289417756
"FDG32","OUT018",3260.57873890592
"FDU14","OUT017",4065.66297789471
"FDD28","OUT019",-928.452720897375
"NCP41","OUT017",1876.0027285309
"FDS08","OUT049",2888.92991725862
"FDX47","OUT045",2450.36225761827
"FDC53","OUT019",-280.371771225172
"FDQ19","OUT035",3964.25834543549
"FDL14","OUT045",2409.41215612102
"FDM33","OUT019",1598.47478027193
"FDA51","OUT045",1761.37166482543
"FDZ27","OUT018",547.654743901565
"FDT04","OUT046",709.690242253912
"DRC13","OUT049",2106.776131859
"FDR16","OUT027",4859.86238044221
"FDQ03","OUT027",5194.46871593975
"FDE38","OUT035",2822.6007620077
"DRH23","OUT027",2406.52244196499
"FDT11","OUT019",1078.36367582433
"FDD09","OUT035",3007.98415582792
"FDR40","OUT045",1274.47066321087
"FDX07","OUT017",3026.50513552269
"FDR07","OUT035",1721.28018006234
"FDA51","OUT017",1949.01764958477
"FDT59","OUT019",1739.87680653181
"FDF20","OUT017",3206.72853023345
"FDR13","OUT045",1786.22866897944
"FDY26","OUT049",3436.47802541497
"FDW04","OUT017",2191.44424224548
"FDK52","OUT017",3702.02308890364
"FDN60","OUT049",2610.75368058675
"FDM09","OUT019",815.748353234102
"FDP46","OUT049",1532.73401138724
"FDB50","OUT019",-610.88247413642
"NCQ29","OUT049",4192.79135689063
"FDP16","OUT027",5336.93510872281
"FDX33","OUT018",2298.61236692729
"FDP07","OUT010",1197.48869748493
"FDN22","OUT046",3975.77361103246
"FDF39","OUT049",4237.34536608918
"FDS21","OUT017",1116.00457260071
"NCM42","OUT013",1766.27074799588
"FDK50","OUT019",700.759422536404
"DRF13","OUT027",3805.18408236517
"FDH35","OUT018",2342.10200960266
"FDP60","OUT018",1339.18553612679
"DRJ49","OUT027",3544.08439280649
"NCT42","OUT019",465.00846201672
"FDE38","OUT049",2774.51362819913
"FDI04","OUT049",3256.25463070422
"NCH54","OUT045",2456.01398161272
"FDT56","OUT049",1082.11483704544
"DRD15","OUT018",3406.64903939029
"FDV58","OUT013",3114.68619682643
"FDP21","OUT049",3076.44204412522
"FDH05","OUT013",3720.83359523143
"FDR10","OUT027",4032.54148582921
"NCP06","OUT045",2324.44022868681
"FDF33","OUT049",1821.80288791626
"DRK37","OUT013",3029.22254450724
"DRH49","OUT045",1310.22030722203
"FDT58","OUT013",2704.44448234367
"FDD41","OUT018",1414.32919022704
"FDP40","OUT018",1508.06502447203
"FDM51","OUT027",3100.63257549069
"FDO45","OUT010",-499.046184631663
"FDW33","OUT010",-185.612028833608
"FDY24","OUT045",841.37930249062
"FDB10","OUT010",1853.35010419795
"FDM40","OUT035",2416.9464049962
"NCI06","OUT017",2985.59549240205
"FDW12","OUT019",390.396991178065
"FDX48","OUT027",3928.44519498867
"NCW05","OUT027",3185.07231966331
"FDX27","OUT017",1651.67659112995
"DRM37","OUT045",3084.43838461699
"FDA38","OUT045",3757.86806332819
"FDR36","OUT046",690.444503717738
"FDZ45","OUT046",3160.94190606138
"FDG05","OUT017",2636.98433423104
"FDK28","OUT013",4121.77921964182
"FDV47","OUT045",1333.52121996788
"FDN21","OUT045",2496.96408310997
"FDP20","OUT027",3497.97429219977
"FDI35","OUT045",2827.47478602121
"DRY23","OUT013",772.239556460619
"FDA56","OUT017",2081.12358577228
"FDB09","OUT013",2015.45388955083
"NCO26","OUT027",3344.65571793617
"FDQ49","OUT018",2227.11307890496
"FDI52","OUT027",3423.36282136112
"FDZ44","OUT027",3346.70353422932
"FDZ09","OUT018",2348.85855849691
"FDY03","OUT049",1925.44791224844
"NCG42","OUT017",2193.00033365365
"DRI13","OUT027",4911.66466342
"FDQ32","OUT013",2053.33226660837
"FDW16","OUT035",1627.46342906412
"FDU27","OUT046",799.249527159391
"FDR28","OUT010",690.358507564235
"FDQ49","OUT010",617.875769771949
"FDS37","OUT046",1874.68919680416
"FDW26","OUT018",3221.67645370181
"FDX12","OUT018",3542.89106654069
"NCP06","OUT013",2443.87697604659
"FDW45","OUT010",416.810086740244
"NCN30","OUT049",1636.33857734281
"FDN24","OUT049",991.410268863548
"NCL41","OUT027",2029.32899680881
"FDR02","OUT019",-139.5423866035
"FDD09","OUT010",971.646927052435
"FDS33","OUT010",-496.466185076926
"FDU22","OUT045",1860.34841493312
"FDI53","OUT013",2627.29347032689
"DRH01","OUT049",2900.39519875398
"FDX32","OUT013",2323.15540460121
"NCP30","OUT018",409.89708371961
"FDB60","OUT045",3047.66483245926
"FDB14","OUT049",1618.77030534464
"NCP02","OUT035",1115.13278165734
"FDJ10","OUT017",2355.65545636623
"FDG34","OUT046",1787.17772819183
"NCB18","OUT017",1538.20329346381
"FDM16","OUT049",1320.36488036663
"FDW25","OUT018",1099.87112628241
"FDB35","OUT010",-422.878622384844
"DRN11","OUT013",2327.29149556411
"FDF41","OUT019",2019.64959298846
"FDH16","OUT045",1371.27822189557
"NCQ50","OUT018",3097.88315781672
"DRH23","OUT018",680.333321727273
"DRJ37","OUT013",2462.01788968296
"DRJ24","OUT027",4394.13355852713
"FDY16","OUT035",3066.01080443837
"FDQ27","OUT045",1636.06273590878
"FDZ33","OUT045",2311.54023091313
"FDF29","OUT045",2042.70054269024
"FDA08","OUT049",2703.99778994676
"FDG31","OUT046",1081.60231317078
"FDE34","OUT019",1010.01702899495
"NCR30","OUT027",2666.51730662387
"FDV33","OUT035",4228.47021781049
"DRZ24","OUT018",1661.95624037383
"NCL54","OUT035",2911.62786365158
"FDR12","OUT049",2855.30900629383
"NCC54","OUT046",3831.79158521784
"DRN59","OUT013",812.617016319663
"FDX50","OUT019",-126.561472076595
"FDV31","OUT027",4295.23772517267
"NCA29","OUT027",4207.68579818372
"FDW60","OUT049",2916.93956260558
"FDX08","OUT017",3009.96077167109
"DRD49","OUT013",3777.75541894208
"FDD33","OUT046",3665.98382131232
"FDW35","OUT013",755.654734232406
"FDJ36","OUT017",1772.88988746031
"FDV51","OUT035",2800.8154822934
"FDW36","OUT046",1723.9506220953
"FDH35","OUT046",2638.78298532064
"NCS30","OUT027",3556.5331240718
"FDN49","OUT017",766.329047906512
"FDL08","OUT018",3619.05862878751
"FDI09","OUT013",3834.26643452096
"FDP19","OUT018",1805.44654130346
"FDU21","OUT010",-1328.90662042279
"NCP41","OUT045",1674.35192109807
"FDY10","OUT013",1850.7104921685
"FDP12","OUT018",355.514801187089
"NCN26","OUT049",1971.51755447855
"FDK44","OUT013",2813.24950578533
"FDC28","OUT049",1863.2851726751
"FDJ41","OUT027",5615.15180377129
"NCT29","OUT035",2134.14235247645
"NCH42","OUT019",1710.84325303828
"FDU60","OUT018",2391.2838346491
"FDS02","OUT045",3005.11818117723
"FDC51","OUT046",1982.42985372263
"FDU03","OUT013",2940.15498448674
"FDX39","OUT045",3294.22751608287
"NCY05","OUT010",-1272.3956048439
"NCL06","OUT027",5563.80078730188
"FDD32","OUT035",1457.02784931072
"NCN41","OUT045",1909.53023997955
"NCX53","OUT049",2367.30317977947
"FDU57","OUT019",488.841558024162
"FDQ23","OUT046",1686.153161791
"FDQ52","OUT045",3874.41308543405
"FDC14","OUT045",623.769255607313
"FDY09","OUT035",2962.978880121
"FDQ28","OUT045",2433.81789376666
"FDV25","OUT046",3506.97306467766
"FDJ07","OUT035",2020.13687154871
"DRB25","OUT049",1816.1107055452
"FDK52","OUT019",1664.24142754658
"FDY52","OUT027",2501.32264273316
"FDB28","OUT046",3145.91317524133
"FDT36","OUT035",773.278172380577
"FDV25","OUT017",3627.94380132658
"NCN07","OUT027",3548.18002539278
"FDC57","OUT017",3178.79980163972
"FDQ03","OUT018",3474.50396133469
"FDU23","OUT017",2771.67026997328
"NCX41","OUT035",3520.35526161132
"NCD06","OUT035",938.513294647895
"FDW08","OUT045",1659.85537353961
"NCU29","OUT017",2428.67037742011
"NCE06","OUT013",2603.41991594284
"FDV52","OUT010",-7.92817530097636
"FDB02","OUT017",2919.78838675079
"NCR18","OUT045",666.807631774318
"FDK16","OUT049",1634.29076104967
"NCQ29","OUT010",2182.75598220941
"FDZ01","OUT019",-232.7460375869
"FDW27","OUT035",2655.27736507062
"FDD17","OUT018",3492.64487497107
"FDW39","OUT013",2846.91087512673
"DRH59","OUT045",1129.38381249646
"FDS52","OUT013",1680.8475540533
"FDU40","OUT027",4556.82913961633
"NCF54","OUT013",2800.30904963503
"FDH46","OUT045",1599.24872537444
"NCP14","OUT049",1777.7810619793
"FDH50","OUT049",3047.48940738492
